Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Lao People's Democratic Republic,Western Pacific,141933,1950.819,1580,21.717,239,617,8.48,15,0.206,1
Rwanda,Africa,129468,999.582,131,1.011,32,1457,11.249,5,0.039,0
Cambodia,Western Pacific,128599,769.18,3812,22.8,466,3026,18.099,11,0.066,3
Jamaica,Americas,127799,4315.832,422,14.251,58,2808,94.827,39,1.317,10
Trinidad and Tobago,Americas,125864,8993.575,3771,269.456,1376,3603,257.451,54,3.859,21
Guadeloupe,Americas,122211,30543.282,4034,1008.187,0,909,227.18,20,4.998,0
Cameroon,Africa,119107,448.684,174,0.655,0,1920,7.233,2,0.008,0
Iceland,Europe,118684,32593.496,19500,5355.171,3443,61,16.752,3,0.824,1
Martinique,Americas,112115,29876.221,4971,1324.664,0,871,232.103,12,3.198,0
Angola,Africa,98701,300.311,116,0.353,3,1899,5.778,0,0,0
Democratic Republic of the Congo,Africa,85999,96.022,159,0.178,61,1335,1.491,0,0,0
Senegal,Africa,85637,511.451,142,0.848,18,1960,11.706,2,0.012,0
Malawi,Africa,85276,445.772,142,0.742,19,2612,13.654,12,0.063,2
Côte d’Ivoire,Africa,81410,308.625,157,0.595,0,791,2.999,0,0,0
Suriname,Americas,77935,13285.16,485,82.675,55,1314,223.991,10,1.705,0
French Guiana,Americas,77625,25989.179,211,70.644,18,391,130.908,5,1.674,0
Malta,Europe,71000,13798.089,566,109.996,95,601,116.798,7,1.36,0
Mauritius,Africa,70862,5571.928,0,0,0,786,61.804,0,0,0
Eswatini,Africa,69095,5955.624,170,14.653,45,1390,119.811,4,0.345,0
French Polynesia,Western Pacific,65583,23346.79,4867,1732.596,0,638,227.121,1,0.356,0
Fiji,Western Pacific,63687,7104.396,87,9.705,0,826,92.142,3,0.335,0
Madagascar,Africa,63433,229.074,589,2.127,0,1350,4.875,15,0.054,0
Guyana,Americas,62779,7981.545,314,39.921,33,1215,154.472,13,1.653,0
Sudan,Eastern Mediterranean,61376,139.97,1437,3.277,0,3901,8.896,80,0.182,0
Mauritania,Africa,58621,1260.759,28,0.602,0,977,21.012,2,0.043,0
New Zealand,Western Pacific,57069,1183.456,30525,633.005,12030,56,1.161,3,0.062,0
Belize,Americas,56450,14196.686,647,162.715,76,648,162.966,15,3.772,1
Cabo Verde,Africa,55876,10049.875,20,3.597,6,401,72.124,1,0.18,0
Barbados,Americas,54536,18977.294,1899,660.809,192,312,108.569,7,2.436,1
Syrian Arab Republic,Eastern Mediterranean,54040,308.788,762,4.354,0,3059,17.479,18,0.103,0
New Caledonia,Western Pacific,52457,18373.859,9473,3318.062,911,299,104.729,12,4.203,0
Brunei Darussalam,Western Pacific,48055,10984.527,20456,4675.882,3721,64,14.629,4,0.914,1
Gabon,Africa,47520,2135.026,74,3.325,0,303,13.613,1,0.045,0
Papua New Guinea,Western Pacific,41038,458.678,1458,16.296,290,638,7.131,10,0.112,0
Seychelles,Africa,39251,39910.724,273,277.589,0,160,162.689,9,9.151,0
Curaçao,Americas,38830,23663.41,300,182.823,52,261,159.056,1,0.609,0
Burundi,Africa,38063,320.105,100,0.841,16,15,0.126,0,0,0
Andorra,Europe,37958,49127.03,436,564.292,57,151,195.431,1,1.294,0
Togo,Africa,36777,444.235,67,0.809,6,272,3.286,1,0.012,0
Jersey,Europe,36704,34049.501,1405,1303.388,284,112,103.9,4,3.711,1
Mayotte,Africa,36631,13427.048,59,21.626,0,187,68.545,0,0,0
Guam,Western Pacific,36588,21678.566,1128,668.345,0,321,190.194,6,3.555,1
Guinea,Africa,36393,277.115,64,0.487,0,440,3.35,4,0.03,0
Aruba,Americas,33643,31510.968,99,92.726,12,211,197.628,13,12.176,0
United Republic of Tanzania,Africa,33620,56.283,71,0.119,0,798,1.336,2,0.003,0
Faroe Islands,Europe,33590,68740.407,2498,5112.043,407,26,53.208,2,4.093,1
Bahamas,Americas,33091,8414.877,73,18.564,0,771,196.061,3,0.763,0
Lesotho,Africa,32599,1521.719,165,7.702,0,696,32.489,0,0,0
Mali,Africa,30359,149.915,55,0.272,3,722,3.565,5,0.025,0
Haiti,Americas,30336,266.046,110,0.965,0,820,7.191,1,0.009,0
Benin,Africa,26567,219.142,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26313,165.561,53,0.333,0,1348,8.482,3,0.019,0
Congo,Africa,23967,434.335,93,1.685,0,378,6.85,3,0.054,0
Saint Lucia,Americas,22594,12304.291,168,91.49,0,357,194.416,4,2.178,0
Timor-Leste,South-East Asia,22584,1712.927,323,24.499,0,126,9.557,1,0.076,0
Isle of Man,Europe,22577,26551.181,355,417.49,69,80,94.082,1,1.176,1
Burkina Faso,Africa,20751,99.272,8,0.038,0,375,1.794,0,0,0
Cayman Islands,Americas,19373,29478.089,645,981.436,645,17,25.867,0,0,0
Tajikistan,Europe,17786,186.482,3,0.031,0,125,1.311,0,0,0
South Sudan,Africa,16955,151.469,52,0.465,5,137,1.224,0,0,0
Equatorial Guinea,Africa,15877,1131.659,8,0.57,3,182,12.972,0,0,0
Djibouti,Eastern Mediterranean,15543,1573.178,6,0.607,0,189,19.13,0,0,0
United States Virgin Islands,Americas,15327,14677.52,81,77.568,10,109,104.381,1,0.958,0
Gibraltar,Europe,15256,45282.123,464,1377.222,86,101,299.783,0,0,0
San Marino,Europe,14310,42165.125,180,530.379,19,112,330.014,2,5.893,0
Central African Republic,Africa,14187,293.741,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,13958,210.701,81,1.223,0,224,3.381,1,0.015,0
Grenada,Americas,13626,12109.524,174,154.635,61,214,190.183,0,0,0
Guernsey,Europe,13503,20945.275,533,826.767,0,31,48.086,0,0,0
Gambia,Africa,11924,493.407,0,0,0,365,15.103,0,0,0
Yemen,Eastern Mediterranean,11751,39.399,33,0.111,0,2130,7.141,16,0.054,0
Greenland,Europe,11715,20635.172,149,262.453,26,16,28.183,5,8.807,0
Liechtenstein,Europe,11664,30102.976,499,1287.842,0,74,190.983,0,0,0
Bermuda,Americas,11466,18412.474,175,281.021,43,123,197.517,1,1.606,0
Bhutan,South-East Asia,11369,1473.417,2159,279.805,359,6,0.778,1,0.13,0
Dominica,Americas,10991,15267.186,239,331.986,0,57,79.177,0,0,0
Saint Martin,Americas,9790,25323.987,58,150.03,0,44,113.816,0,0,0
Eritrea,Africa,9696,273.402,15,0.423,2,103,2.904,0,0,0
Sint Maarten,Americas,9537,22240.101,32,74.623,2,85,198.218,1,2.332,0
Monaco,Europe,9331,23776.883,203,517.277,26,51,129.956,1,2.548,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,9265,16097.086,1112,1931.998,157,27,46.91,2,3.475,0
Niger,Africa,8746,36.131,18,0.074,0,306,1.264,3,0.012,0
Saint Vincent and the Grenadines,Americas,8305,7486.028,27,24.337,2,106,95.547,2,1.803,0
Comoros,Africa,8024,922.722,12,1.38,0,160,18.399,0,0,0
Guinea-Bissau,Africa,7972,405.081,81,4.116,0,166,8.435,2,0.102,0
Sierra Leone,Africa,7664,96.076,3,0.038,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7435,7592.235,40,40.846,6,135,137.855,0,0,0
Liberia,Africa,7360,145.521,0,0,0,290,5.734,0,0,0
Chad,Africa,7248,44.126,32,0.195,0,190,1.157,0,0,0
Bonaire,Americas,6911,33043.27,72,344.251,6,28,133.875,0,0,0
Solomon Islands,Western Pacific,6654,968.723,1089,158.542,306,92,13.394,18,2.621,5
British Virgin Islands,Americas,6074,20087.972,24,79.373,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5932,2706.711,10,4.563,0,72,32.853,1,0.456,0
Turks and Caicos Islands,Americas,5855,15122.165,19,49.073,7,36,92.98,1,2.583,0
Saint Kitts and Nevis,Americas,5524,10385.02,13,24.44,1,42,78.959,2,3.76,0
Palau,Western Pacific,3696,20428.919,271,1497.9,29,6,33.164,1,5.527,0
Saint Barthélemy,Americas,3684,37268.589,51,515.933,0,4,40.465,0,0,0
Kiribati,Western Pacific,2883,2413.582,126,105.484,16,11,9.209,2,1.674,0
Anguilla,Americas,2528,16851.087,22,146.647,0,9,59.992,0,0,0
Saint Pierre and Miquelon,Americas,995,17169.974,30,517.688,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,453,14431.348,16,509.716,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Tonga,Western Pacific,287,271.536,77,72.851,0,1,0.946,1,0.946,1
Saba,Americas,208,10760.476,3,155.199,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,0,0,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,109,3129.486,4,114.844,0,0,0,0,0,0
American Samoa,Western Pacific,84,152.182,27,48.916,12,0,0,0,0,0
Samoa,Western Pacific,33,16.632,0,0,0,1,0.504,1,0.504,1
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,19,6.186,8,2.605,4,0,0,0,0,0
Cook Islands,Western Pacific,8,45.548,5,28.467,2,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
